TT_LOT_NO,SCHEDULE,DUE_HOUR,RECIPENAME,PROD_TIME,
LOT_EQ,LOT_EQ0001,144,REC0014,12.2,
LOT_EQ,LOT_EQ0002,144,REC0014,12.2,
LOT_EQ,LOT_EQ0005,144,REC0014,12.2,
LOT_EQ,LOT_EQ0007,144,REC0014,12.2,
LOT_ER,LOT_ER0001,120,REC0005,12.5,
LOT_ES,LOT_ES0001,120,REC0004,7.6,
LOT_ES,LOT_ES0005,120,REC0004,7.6,
LOT_ES,LOT_ES0006,120,REC0004,7.6,
LOT_ES,LOT_ES0007,120,REC0004,7.6,
LOT_EY,LOT_EY0001,48,REC0009,16.85,
LOT_EY,LOT_EY0006,48,REC0009,16.85,
LOT_EY,LOT_EY0007,48,REC0009,16.85,
LOT_EY,LOT_EY0008,48,REC0009,16.85,
LOT_EY,LOT_EY0010,48,REC0009,16.85,
LOT_EZ,LOT_EZ0001,120,REC0005,12.5,
LOT_F,LOT_F0001,168,REC0003,8.2,
LOT_F,LOT_F0002,168,REC0003,8.2,
LOT_F,LOT_F0004,168,REC0003,8.2,
LOT_F,LOT_F0007,168,REC0003,8.2,
LOT_F,LOT_F0009,168,REC0003,8.2,
LOT_F,LOT_F0014,168,REC0003,8.2,
LOT_F,LOT_F0016,168,REC0003,8.2,
LOT_F,LOT_F0022,168,REC0003,8.2,
LOT_F,LOT_F0023,168,REC0003,8.2,
LOT_F,LOT_F0024,168,REC0003,8.2,
LOT_F,LOT_F0029,168,REC0003,8.2,
LOT_F,LOT_F0030,168,REC0003,8.2,
LOT_F,LOT_F0031,168,REC0003,8.2,
LOT_FA,LOT_FA0001,120,REC0005,8.5,
LOT_FD,LOT_FD0001,120,REC0005,8.5,
LOT_FF,LOT_FF0001,120,REC0005,8.5,
LOT_FG,LOT_FG0001,120,REC0005,8.5,
LOT_FH,LOT_FH0001,120,REC0005,8.5,
LOT_FI,LOT_FI0001,120,REC0005,8.5,
LOT_FK,LOT_FK0001,120,REC0005,8.5,
LOT_FM,LOT_FM0001,120,REC0005,8.5,
LOT_FP,LOT_FP0001,24,REC0023,8.15,
LOT_FS,LOT_FS0001,24,REC0023,8.05,
LOT_FX,LOT_FX0001,24,REC0023,7.75,
LOT_FY,LOT_FY0001,24,REC0023,8.2,
LOT_FZ,LOT_FZ0001,24,REC0023,7.7,
LOT_G,LOT_G0002,168,REC0003,7.85,
LOT_G,LOT_G0003,168,REC0003,7.85,
LOT_G,LOT_G0004,168,REC0003,7.85,
LOT_G,LOT_G0005,168,REC0003,7.85,
LOT_G,LOT_G0006,168,REC0003,7.85,
LOT_G,LOT_G0009,168,REC0003,7.85,
LOT_G,LOT_G0010,168,REC0003,7.85,
LOT_G,LOT_G0012,168,REC0003,7.85,
LOT_G,LOT_G0013,168,REC0003,7.85,
LOT_G,LOT_G0015,168,REC0003,7.85,
LOT_G,LOT_G0018,168,REC0003,7.85,
LOT_G,LOT_G0024,168,REC0003,7.85,
LOT_G,LOT_G0030,168,REC0003,7.85,
LOT_G,LOT_G0031,168,REC0003,7.85,
LOT_G,LOT_G0032,168,REC0003,7.85,
LOT_G,LOT_G0035,168,REC0003,7.85,
LOT_G,LOT_G0036,168,REC0003,7.85,
LOT_G,LOT_G0038,168,REC0003,7.85,
LOT_G,LOT_G0042,168,REC0003,7.85,
LOT_GA,LOT_GA0001,24,REC0023,7.6,
LOT_GD,LOT_GD0001,24,REC0023,7.65,
LOT_GF,LOT_GF0001,24,REC0023,8.15,
LOT_GH,LOT_GH0001,24,REC0023,7.75,
LOT_GJ,LOT_GJ0001,72,REC0025,7.65,
LOT_GM,LOT_GM0001,72,REC0025,6.95,
LOT_GN,LOT_GN0001,72,REC0025,7.15,
LOT_GP,LOT_GP0001,72,REC0025,7.4,
LOT_GU,LOT_GU0001,72,REC0025,7.1,
LOT_GW,LOT_GW0001,72,REC0025,7.45,
LOT_GY,LOT_GY0001,72,REC0025,7.05,
LOT_GZ,LOT_GZ0001,72,REC0025,7.05,
LOT_H,LOT_H0005,168,REC0004,7.75,
LOT_H,LOT_H0006,168,REC0004,7.75,
LOT_H,LOT_H0010,168,REC0004,7.75,
LOT_H,LOT_H0012,168,REC0004,7.75,
LOT_H,LOT_H0018,168,REC0004,7.75,
LOT_H,LOT_H0019,168,REC0004,7.75,
LOT_H,LOT_H0024,168,REC0004,7.75,
LOT_H,LOT_H0027,168,REC0004,7.75,
LOT_H,LOT_H0028,168,REC0004,7.75,
LOT_H,LOT_H0029,168,REC0004,7.75,
LOT_H,LOT_H0030,168,REC0004,7.75,
LOT_H,LOT_H0031,168,REC0004,7.75,
LOT_HA,LOT_HA0001,72,REC0025,7.6,
LOT_HD,LOT_HD0001,72,REC0025,7.3,
LOT_HF,LOT_HF0001,72,REC0025,7.65,
LOT_HG,LOT_HG0001,120,REC0004,7.4,
LOT_HH,LOT_HH0001,120,REC0004,7.85,
LOT_HK,LOT_HK0001,120,REC0004,7.6,
LOT_HL,LOT_HL0001,120,REC0004,7.3,
LOT_HM,LOT_HM0001,120,REC0004,7.3,
LOT_HN,LOT_HN0001,120,REC0004,7.5,
LOT_HO,LOT_HO0001,120,REC0004,7.9,
LOT_HP,LOT_HP0001,120,REC0004,7.6,
LOT_HQ,LOT_HQ0001,120,REC0004,7.85,
LOT_HT,LOT_HT0001,120,REC0004,7.75,
LOT_HX,LOT_HX0001,120,REC0004,7.75,
LOT_I,LOT_I0001,192,REC0004,6.85,
LOT_I,LOT_I0004,192,REC0004,6.85,
LOT_I,LOT_I0005,192,REC0004,6.85,
LOT_I,LOT_I0008,192,REC0004,6.85,
LOT_IA,LOT_IA0001,120,REC0004,7.6,
LOT_IB,LOT_IB0001,120,REC0004,7.8,
LOT_IC,LOT_IC0001,120,REC0004,7.6,
LOT_IF,LOT_IF0001,120,REC0004,7.5,
LOT_IG,LOT_IG0001,120,REC0004,7.65,
LOT_IH,LOT_IH0001,120,REC0004,7.8,
LOT_II,LOT_II0001,120,REC0004,7.5,
LOT_IL,LOT_IL0001,120,REC0004,7.7,
LOT_IN,LOT_IN0001,120,REC0004,7.3,
LOT_IT,LOT_IT0001,144,REC0014,12,
LOT_IU,LOT_IU0001,144,REC0014,12.85,
LOT_IY,LOT_IY0001,144,REC0014,11.95,
LOT_IZ,LOT_IZ0001,144,REC0014,11.8,
LOT_J,LOT_J0001,120,REC0004,6,
LOT_J,LOT_J0003,120,REC0004,6,
LOT_J,LOT_J0007,120,REC0004,6,
LOT_JA,LOT_JA0001,144,REC0014,11.85,
LOT_JC,LOT_JC0001,144,REC0014,11.85,
LOT_JD,LOT_JD0001,144,REC0014,12.45,
LOT_JE,LOT_JE0001,144,REC0014,12.55,
LOT_JF,LOT_JF0001,144,REC0014,12.3,
LOT_JG,LOT_JG0001,48,REC0020,10.25,
LOT_JI,LOT_JI0001,48,REC0020,10.7,
LOT_JJ,LOT_JJ0001,48,REC0020,10.7,
LOT_JL,LOT_JL0001,48,REC0020,10.1,
LOT_JM,LOT_JM0001,48,REC0020,10.15,
LOT_JN,LOT_JN0001,48,REC0020,10.15,
LOT_JP,LOT_JP0001,48,REC0020,10.3,
LOT_JS,LOT_JS0001,48,REC0020,10.4,
LOT_JT,LOT_JT0001,48,REC0020,10,
LOT_JU,LOT_JU0001,48,REC0020,10.65,
LOT_JY,LOT_JY0001,48,REC0020,10.7,
LOT_JZ,LOT_JZ0001,48,REC0020,10.75,
LOT_K,LOT_K0003,144,REC0004,7.5,
LOT_K,LOT_K0004,144,REC0004,7.5,
LOT_K,LOT_K0005,144,REC0004,7.5,
LOT_K,LOT_K0006,144,REC0004,7.5,
LOT_K,LOT_K0007,144,REC0004,7.5,
LOT_K,LOT_K0010,144,REC0004,7.5,
LOT_K,LOT_K0014,144,REC0004,7.5,
LOT_K,LOT_K0015,144,REC0004,7.5,
LOT_K,LOT_K0019,144,REC0004,7.5,
LOT_K,LOT_K0020,144,REC0004,7.5,
LOT_K,LOT_K0022,144,REC0004,7.5,
LOT_K,LOT_K0025,144,REC0004,7.5,
LOT_K,LOT_K0029,144,REC0004,7.5,
LOT_K,LOT_K0031,144,REC0004,7.5,
LOT_K,LOT_K0032,144,REC0004,7.5,
LOT_KA,LOT_KA0001,48,REC0020,10.85,
LOT_KD,LOT_KD0001,48,REC0020,10.5,
LOT_KH,LOT_KH0001,48,REC0020,10.4,
LOT_KM,LOT_KM0001,48,REC0020,10.2,
LOT_KP,LOT_KP0001,48,REC0022,10.5,
LOT_KR,LOT_KR0001,48,REC0022,10.5,
LOT_KT,LOT_KT0001,48,REC0022,10.5,
LOT_KV,LOT_KV0001,48,REC0022,12.25,
LOT_KX,LOT_KX0001,48,REC0022,12.55,
LOT_KY,LOT_KY0001,48,REC0022,12.35,
LOT_L,LOT_L0002,120,REC0005,8.5,
LOT_L,LOT_L0003,120,REC0005,8.5,
LOT_L,LOT_L0004,120,REC0005,8.5,
